First,"Niu, Huipeng",WOS,"Beijing Univ Technol, Coll Energy & Power Engn, Beijing Lab New Energy Vehicles, Beijing 100124, Peoples R China"
Last,"Liang, Chen",WOS,"Beijing Automot Technol Ctr, Beijing, Peoples R China"
,,,
Title,Dimensional tolerance analysis of proton exchange membrane fuel cells with metallic bipolar platesFirst,,
First,"Peng, Linfa",WOS,"Shanghai Jiao Tong Univ, State Key Lab Mech Syst & Vibrat, Shanghai 200240, Peoples R China"
Last,"Lai, Xinmin",WOS,"Shanghai Jiao Tong Univ, State Key Lab Mech Syst & Vibrat, Shanghai 200240, Peoples R China"
,,,
Title,Sequential V-ce(T) Method for the Accurate Measurement of Junction Temperature Distribution Within Press-Pack IGBTsFirst,,
First,"Zhang, Yiming",WOS,"North China Elect Power Univ, State Key Lab Alternate Elect Power Syst Renewabl, Beijing 102206, Peoples R China"
Last,"Cui, Xiang",WOS,"North China Elect Power Univ, State Key Lab Alternate Elect Power Syst Renewabl, Beijing 102206, Peoples R China"
,,,
Title,Preparation and Properties of Photo-cured Electrolyte Based on Poly(ethylene glycol) Grafted Acrylic ResinFirst,,
First,"Zheng, Peng-xuan",WOS,"Harbin Engn Univ, Coll Mat Sci & Chem Engn, Inst Camouflage Stealth Technol & Engn, Harbin 150001, Peoples R China"
Last,"Yu, Zhi-wei",WOS,"Harbin Engn Univ, Coll Mat Sci & Chem Engn, Inst Camouflage Stealth Technol & Engn, Harbin 150001, Peoples R China"
,,,
Title,Improving the Quality of Anaerobically-Pretreated Palm Oil Mill Effluent Using ElectrocoagulationFirst,,
First,"Sailah, Illah",WOS,"IPB Univ, Dept Agroind Technol, Bogor, Indonesia"
Last,"Indrasti, Nastiti Siswi",WOS,"IPB Univ, Dept Agroind Technol, Bogor, Indonesia"
,,,
Title,"Resistive switching behavior, mechanism and synaptic characteristics in TiO2 nanosheets grown on Ti plate by hydrothermal methodFirst",,
First,"Wang, Hao",WOS,"Taiyuan Univ Technol, Dept Mat Sci & Engn, Taiyuan 030024, Peoples R China"
Last,"Han, Weitao",WOS,"Taiyuan Univ Technol, Dept Mat Sci & Engn, Taiyuan 030024, Peoples R China"
,,,
Title,A review of gas diffusion layer properties and water management in proton exchange membrane fuel cell systemFirst,,
First,"Okonkwo, Paul C.",WOS,"Dhofar Univ, Coll Engn, Mech & Mechatron Engn Dept, Salalah, Oman"
Last,"Otor, Clement",WOS,"Univ Reading, Dept Geog & Environm Sci, Reading, Berks, England"
,,,
Title,Fuel cell application in the automotive industry and future perspectiveFirst,,
First,"Olabi, A. G.",WOS,"Univ Sharjah, Dept Sustainable & Renewable Energy Engn, POB 27272, Sharjah, U Arab Emirates"
Last,"Abdelkareem, Mohammad Ali",WOS,"Aston Univ, Sch Engn & Appl Sci, Mech Engn & Design, Birmingham B4 7ET, W Midlands, England"
,,,
Title,Standardized testing framework for quality control of fuel cell bipolar platesFirst,,
First,"Shaigan, Nima",WOS,"Natl Res Council Canada, Energy Min & Environm Res Ctr, Vancouver, BC V6T 1W5, Canada"
Last,"Robertson, Mark",WOS,"Natl Res Council Canada, Energy Min & Environm Res Ctr, Vancouver, BC V6T 1W5, Canada"
,,,
Title,Enhanced performance and durability of composite bipolar plate with surface modification of cactus-like carbon nanofibersFirst,,
First,"Jiang, Fengjing",WOS,"Shanghai Jiao Tong Univ, Sch Mech Engn, Inst Fuel Cell, 800 Dongchuan Rd, Shanghai 200240, Peoples R China"
Last,"Miyawaki, Jin",WOS,"Kyushu Univ, Inst Mat Chem & Engn, Kasuga, Fukuoka 8168580, Japan"
,,,
Title,Preparation of sidewall-insulation layer on micro-hollow electrodes for ECM by asymmetric-timed bipolar electrophoretic coating method and its applicationFirst,,
First,"Kong, Quan Cun",WOS,"Beijing Informat Sci & Technol Univ, Sch Instrumentat Sci & Optoelect Engn, Beijing 100192, Peoples R China"
Last,"Zhao, Shuang Qi",WOS,"Tsinghua Univ, Dept Mech Engn, Beijing 100084, Peoples R China"
,,,
Title,3D printing of metal-based materials for renewable energy applicationsFirst,,
First,"Mooraj, Shahryar",WOS,"Univ Massachusetts, Dept Mech & Ind Engn, Amherst, MA 01003 USA"
Last,"Chen, Wen",WOS,"Lawrence Livermore Natl Lab, 7000 East Ave, Livermore, CA 94550 USA"
,,,
Title,Additive manufacturing for energy: A reviewFirst,,
First,"Sun, Cheng",WOS,"Idaho Natl Lab, Idaho Falls, ID 83415 USA"
Last,"Li, Ju",WOS,"MIT, Dept Nucl Sci & Engn, Cambridge, MA 02139 USA"
,,,
Title,Balancing the corrosion resistance and through-plane electrical conductivity of Cr coating via oxygen plasma treatmentFirst,,
First,"Wang, Xian-Zong",WOS,"Northwestern Polytech Univ, Ctr Adv Lubricat & Seal Mat, State Key Lab Solidificat Proc, Xian 710072, Peoples R China"
Last,"Luo, Jing-Li",WOS,"Shanghai Univ, Sch Mat Sci & Engn, Inst Mat, Lab Microstruct, Shanghai 200072, Peoples R China"
,,,
Title,"Design, Development, and Testing of a Low-Concentration Vanadium Redox Flow BatteryFirst",,
First,"Lourenssen, Kyle",WOS,"Univ Guelph, Sch Engn, Guelph, ON N1G 2W1, Canada"
Last,"Tasnim, Syeda Humaira",WOS,"Univ Guelph, Sch Engn, Guelph, ON N1G 2W1, Canada"
,,,
Title,Bio-inspired design of an auxiliary fishbone-shaped cathode flow field pattern for polymer electrolyte membrane fuel cellsFirst,,
First,"Wang, Yulin",WOS,"Tianjin Univ Commerce, Tianjin Key Lab Refrigerat Technol, Tianjin 300134, Peoples R China"
Last,"Gao, Yuyao",WOS,"Tianjin Univ, State Key Lab Engines, Tianjin 300350, Peoples R China"
,,,
Title,"Life cycle assessment of fuel cell systems for light duty vehicles, current state-of-the-art and future impactsFirst",,
First,"Usai, Lorenzo",WOS,"Norwegian Univ Sci & Technol, Dept Energy & Proc Engn, Ind Ecol Programme, Hogskoleringen 5, N-7491 Trondheim, Norway"
Last,"Stromman, Anders Hammer",WOS,"Norwegian Univ Sci & Technol, Dept Energy & Proc Engn, Trondheim, Norway"
,,,
Title,Combination effects of flow field structure and assembly force on performance of high temperature proton exchange membrane fuel cellsFirst,,
First,"Zhang, Tianyu",WOS,"Shenyang Jianzhu Univ, Sch Mech Engn, Shenyang, Peoples R China"
Last,"Sun, Hong",WOS,"Shenyang Jianzhu Univ, Sch Mech Engn, Shenyang, Peoples R China"
,,,
Title,Intergranular passivation of the TiC coating for enhancing corrosion resistance and surface conductivity in stainless-steel bipolar platesFirst,,
First,"Li, Jingling",WOS,"Foshan Univ, Sch Mat Sci & Hydrogen Energy, Foshan 528000, Peoples R China"
Last,"Liu, Cuiyin",WOS,"Chinese Acad Sci, Guangzhou Inst Energy Convers, CAS Key Lab Renewable Energy, Guangzhou 510640, Peoples R China"
,,,
Title,Exploring the Interface of Skin-Layered Titanium Fibers for Electrochemical Water SplittingFirst,,
First,"Liu, Chang",WOS,"Forschungszentrum Julich, Inst Energy & Climate Res IEK 14 Electrochem Proc, D-52425 Julich, Germany"
Last,"Carmo, Marcelo",WOS,"Argonne Natl Lab, Mat Sci Div, Lemont, IL 60439 USA"
,,,
Title,Evaluation of the gas porosity and mechanical properties of vacuum assisted pore-free die-cast Al-Si-Cu alloyFirst,,
First,"Kang, Ho Jung",WOS,"Korea Inst Ind Technol, Adv Forming Proc R&D Grp, Ulsan 44776, South Korea"
Last,"Choi, Yoon Suk",WOS,"Hyundai Motor Co, Light Met Mat Dev Team, Seoul 06797, South Korea"
,,,
Title,Effects of flow field on thermal management in proton exchange membrane fuel cell stacks: A numerical studyFirst,,
First,"Peng, Yimeng",WOS,"Shanghai Jiao Tong Univ, Sch Mech Engn, Inst Fuel Cells, Shanghai 200240, Peoples R China"
Last,"Zhang, Junliang",WOS,"Shanghai Jiao Tong Univ, Sch Mech Engn, Inst Fuel Cells, Shanghai 200240, Peoples R China"
,,,
Title,Development and evaluation of nitride coated titanium bipolar plates for PEM fuel cellsFirst,,
First,"Bi, Jun",WOS,"Univ Sci & Technol Beijing, Sch Met & Ecol Engn, 30 Coll Rd, Beijing 100083, Peoples R China"
Last,"Wang, Xindong",WOS,"Univ Sci & Technol Beijing, Sch Met & Ecol Engn, 30 Coll Rd, Beijing 100083, Peoples R China"
,,,
Title,Investigation and optimization of the ultra-thin metallic bipolar plate multi-stage forming for proton exchange membrane fuel cellFirst,,
First,"Zhang, Rui",WOS,"Shanghai Jiao Tong Univ, State Key Lab Mech Syst & Vibrat, Shanghai 200240, Peoples R China"
Last,"Peng, Linfa",WOS,"Shanghai Zhizhen New Energy Equipment Co Ltd, Shanghai 201306, Peoples R China"
,,,
Title,A novel high corrosion-resistant polytetrafluoroethylene/carbon cloth/Ag coating on magnesium alloys as bipolar plates for light-weight proton exchange membrane fuel cellsFirst,,
First,"Yan, Pengfei",WOS,"Shanghai Jiao Tong Univ, Natl Engn Res Ctr Light Alloy Net Forming, Sch Mat Sci & Engn, Shanghai 200240, Peoples R China"
Last,"Ding, Wenjiang",WOS,"Xiamen Univ, Coll Mat, Ctr Marine Mat Corros & Protect, Xiamen 361005, Peoples R China"
,,,
Title,An ultralight-weight polymer electrolyte fuel cell based on woven carbon fiber-resin reinforced bipolar plateFirst,,
First,"Choi, Hyunguk",WOS,"Korea Inst Energy Res KIER, Fuel Cell Res & Demonstrat Ctr, Future Energy Res Div, Jeollabuk Do 56332, South Korea"
Last,"Jung, Chi-Young",WOS,"Chonbuk Natl Univ, Dept Mech Engn, Jeollabuk Do 54596, South Korea"
,,,
Title,Three-dimensional multi-phase simulation of PEM fuel cell considering the full morphology of metal foam flow fieldFirst,,
First,"Zhang, Guobin",WOS,"Tianjin Univ, State Key Lab Engines, 135 Yaguan Rd, Tianjin 300350, Peoples R China"
Last,"Jiao, Kui",WOS,"Univ Calif Irvine, Dept Mech & Aerosp Engn, Renewable Energy Resources Lab, Irvine, CA 92697 USA"
,,,
Title,Cryogenic amplification of image-charge detection for readout of quantum states of electrons on liquid heliumFirst,,
First,"Elarabi, Asem",WOS,"Grad Univ, Okinawa Inst Sci & Technol OIST, Quantum Dynam Unit, Tancha 1919-1, Onna Son, Okinawa 9040495, Japan"
Last,"Konstantinov, Denis",WOS,"Grad Univ, Okinawa Inst Sci & Technol OIST, Quantum Dynam Unit, Tancha 1919-1, Onna Son, Okinawa 9040495, Japan"
,,,
Title,A Build-In Data Inversion Method to Retrieve Aerosol Size Distributions for a Portable Ultrafine Particle Sizer (PUPS)First,,
First,"Yang, Jie",WOS,"Hefei Univ Technol, Acad Elect Sci & Appl Phys, Hefei 230009, Peoples R China"
Last,"Chen, Mingjie",WOS,"Chinese Acad Sci, Anhui Inst Opt & Fine Mech, Key Lab Environm Opt & Technol, Hefei 230031, Peoples R China"
,,,
Title,Metal-insert technique for polypropylene composite bipolar plate manufacturingFirst,,
First,"Yeetsorn, Rungsima",WOS,"King Mongkuts Univ Technol North Bangkok, Sirindhorn Int Thai German Grad Sch Engn, Dept Mech & Proc Engn, Bangkok 10800, Thailand"
Last,"Maiket, Yaowaret",WOS,"King Mongkuts Univ Technol North Bangkok, Thai French Innovat Inst, Bangkok 10800, Thailand"
,,,
Title,Graphite-epoxy composites for fuel-cell bipolar plates: Wet vs dry mixing and role of the design of experiment in the optimization of molding parametersFirst,,
First,"Roncaglia, Fabrizio",WOS,"Univ Modena & Reggio Emilia, Dipartimento Sci Chim & Geol, Via G Campi 103, I-41125 Modena, Italy"
Last,"Mucci, Adele",WOS,"Univ Modena & Reggio Emilia, Dipartimento Sci Fis Informat & Matemat, Via G Campi 213-A, I-41125 Modena, Italy"
,,,
Title,Geometry optimization of a novel M-like flow field in a proton exchange membrane fuel cellFirst,,
First,"Yang, Chen",WOS,"Fuzhou Univ, Coll Chem Engn, Fuzhou 350116, Fujian, Peoples R China"
Last,"Wang, Xiaodong",WOS,"North China Elect Power Univ, Res Ctr Engn Thermophys, Beijing 102206, Peoples R China"
,,,
Title,Influence of Waveform of Applied Voltage on H-2 Production From Methane Reforming Using Dielectric Barrier DischargeFirst,,
First,"Miura, Takafumi",WOS,"Iwate Univ, Fac Sci & Engn, Morioka, Iwate 0208550, Japan"
Last,"Nishida, Yasushi",WOS,"China Med Univ Hosp, Biomed Technol Res & Dev Ctr, Taichung 404332, Taiwan"
,,,
Title,Crystal plasticity finite element-Marciniak-Kuczynski approach with surface roughening effect in predicting formability of ultra-thin ferritic stainless steel sheetsFirst,,
First,"Bong, Hyuk Jong",WOS,"Korea Inst Mat Sci, Mat Deformat Dept, Chang Won 51508, Gyeongnam, South Korea"
Last,"Lee, Jinwoo",WOS,"Korea Inst Mat Sci, Mat Deformat Dept, Chang Won 51508, Gyeongnam, South Korea"
,,,
Title,Fracture prediction in the stamping of titanium bipolar plate for PEM fuel cellsFirst,,
First,"Modanloo, Vahid",WOS,"Urmia Univ, Fac Engn, Mech Engn Dept, Orumiyeh, Iran"
Last,"Elyasi, Majid",WOS,"Babol Noshirvani Univ Technol, Mech Engn Dept, Babol, Iran"
,,,
Title,The association of Plk1 with the astrin-kinastrin complex promotes formation and maintenance of a metaphase plateFirst,,
First,"Geraghty, Zoe",WOS,"Univ Oxford, Sir William Dunn Sch Pathol, South Parks Rd, Oxford OX1 3RE, England"
Last,"Gruneberg, Ulrike",WOS,"Univ Oxford, Sir William Dunn Sch Pathol, South Parks Rd, Oxford OX1 3RE, England"
,,,
Title,A simple convertible electrolyzer in membraneless and membrane-based modes for understanding water splitting mechanismFirst,,
First,"Yang, Gaoqiang",WOS,"Univ Tennessee, Dept Mech Aerosp & Biomed Engn, UT Space Inst, Knoxville, TN 37996 USA"
Last,"Zhang, Feng-Yuan",WOS,"Univ Tennessee, Dept Mech Aerosp & Biomed Engn, UT Space Inst, Knoxville, TN 37996 USA"
,,,
Title,"Electrical characteristics of a low-temperature, atmospheric-pressure helium plasma jetFirst",,
First,"Sakakita, Hajime",WOS,"Natl Inst Adv Ind Sci & Technol, Res Inst Adv Elect & Photon, Innovat Plasma Proc Grp, Tsukuba Cent 2,1-1-1 Umezono, Tsukuba, Ibaraki 3058568, Japan"
Last,"Kiyama, Satoru",WOS,"Natl Inst Adv Ind Sci & Technol, Res Inst Adv Elect & Photon, Innovat Plasma Proc Grp, Tsukuba Cent 2,1-1-1 Umezono, Tsukuba, Ibaraki 3058568, Japan"
,,,
Title,Ariadne's Thread in the Developing Cerebral Cortex: Mechanisms Enabling the Guiding Role of the Radial Glia Basal Process during Neuron MigrationFirst,,
First,"Meyerink, Brandon L.",WOS,"Sanford Res, Pediat & Rare Dis Grp, Sioux Falls, SD 57104 USA"
Last,"Pilaz, Louis-Jan",WOS,"Sanford Res, Pediat & Rare Dis Grp, Sioux Falls, SD 57104 USA"
,,,
Title,Understanding Size Effects and Forming Limits in the Micro-Stamping of Industrial Stainless Steel FoilsFirst,,
First,"Weiss, Matthias",WOS,"Deakin Univ, Inst Frontier Mat, Pigdons Rd, Geelong, Vic 3216, Australia"
Last,"Hodgson, Peter D.",WOS,"Ford Motor Co, Res & Innovat Ctr, 2101 Village Rd, Dearborn, MI 48121 USA"
,,,
Title,Novel Magnetic Flowable Electrode for Redox Flow Batteries: A Polysulfide/lodide Case StudyFirst,,
First,"Rahimi, Mohammad",WOS,"Sharif Univ Technol, Dept Chem & Petr Engn, Tehran, Iran"
Last,"Roberts, Edward P. L.",WOS,"Tarbiat Modares Univ, Chem Dept, Tehran, Iran"
,,,
Title,Involvement of Netrins and Their Receptors in Neuronal Migration in the Cerebral CortexFirst,,
First,"Yamagishi, Satoru",WOS,"Hamamatsu Univ Sch Med, Dept Organ & Tissue Anat, Hamamatsu, Shizuoka, Japan"
Last,"Sato, Kohji",WOS,"Hamamatsu Univ Sch Med, Dept Organ & Tissue Anat, Hamamatsu, Shizuoka, Japan"
,,,
Title,A comparison on the dynamical performance of a proton exchange membrane fuel cell (PEMFC) with traditional serpentine and an open pore cellular foam material flow channelFirst,,
First,"Khatib, F. N.",WOS,"Univ West Scotland, Inst Engn & Energy Technol, Paisley, Renfrew, Scotland"
Last,"Olabi, A. G.",WOS,"Aston Univ, Mech Engn & Design, Sch Engn & Appl Sci, Birmingham B4 7ET, W Midlands, England"
,,,
Title,The effect of baffle shape on the performance of a polymer electrolyte membrane fuel cell with a biometric flow fieldFirst,,
First,"Fahruddin, Arasy",WOS,"Inst Teknol Sepuluh Nopember ITS, Dept Mech Engn, Jl Raya ITS, Surabaya 60111, Jawa Timur, Indonesia"
Last,"Widodo, Wawan A.",WOS,"Inst Teknol Sepuluh Nopember ITS, Dept Chem Engn, Jl Raya ITS, Surabaya 60111, Jawa Timur, Indonesia"
,,,
Title,Direct Phase-Change Cooling of Vapor Chamber Integrated With IGBT Power Electronic Module for Automotive ApplicationFirst,,
First,"Chen, Yiyi",WOS,"Dynex Semicond Ltd, Lincoln LN6 3LF, England"
Last,"Li, Helong",WOS,"Cree Europe, D-85716 Unterschleissheim, Germany"
,,,
Title,Influences of plastic strain and strain rate on corrosion behavior of 316L stainless steel in simulated cathodic environment of proton exchange membrane fuel cellFirst,,
First,"Li, D. G.",WOS,"Tsinghua Univ, State Key Lab Tribol, Beijing 100084, Peoples R China"
Last,"Liang, P.",WOS,"Tsinghua Univ, State Key Lab Tribol, Beijing 100084, Peoples R China"
,,,
Title,Effect of air contamination by sulfur dioxide on the high temperature PEM fuel cellFirst,,
First,"Schonvogel, Dana",WOS,"German Aerosp Ctr, Inst Networked Energy Syst, Cologne, Germany"
Last,"Dyck, Alexander",WOS,"Hydrogen & Fuel Cell Ctr ZBT, Duisburg, Germany"
,,,
Title,Electronic Transport and Corrosion Mechanisms of Graphite-Like Nanocrystalline Carbon Films Used on Metallic Bipolar Plates in Proton-Exchange Membrane Fuel CellsFirst,,
First,"Zhang, Di",WOS,"Shanghai Jiao Tong Univ, State Key Lab Mech Syst & Vibrat, Shanghai 200240, Peoples R China"
Last,"Lai, Xinmin",WOS,"Shanghai Jiao Tong Univ, State Key Lab Mech Syst & Vibrat, Shanghai 200240, Peoples R China"
,,,
Title,Cost-Effective Hydrogen Oxidation Reaction Catalysts for Hydroxide Exchange Membrane Fuel CellsFirst,,
First,"Xue, Yanrong",WOS,"Beijing Univ Chem Technol, State Key Lab Organ Inorgan Composites, Beijing 100029, Peoples R China"
Last,"Zhuang, Zhongbin",WOS,"Beijing Univ Chem Technol, State Key Lab Organ Inorgan Composites, Beijing 100029, Peoples R China"
,,,
Title,"Graphite-Filled Composite Bipolar Plates for Fuel Cells: Material, Structure, and PerformanceFirst",,
First,"Fan, Runlin",WOS,"Tongji Univ, Sch Automot Studies, Shanghai 200092, Peoples R China"
Last,"Zhang, Cunman",WOS,"Tongji Univ, Sch Automot Studies, Shanghai 200092, Peoples R China"
,,,
Title,Recent advances and future perspectives of carbon materials for fuel cellFirst,,
First,"Saadat, Nazmus",WOS,"Univ Toronto, Daniels Fac Architecture & Landscape Design, Ctr Biocomposites & Biomat Proc, Div Forestry, Toronto, ON, Canada"
Last,"Sain, Mohini",WOS,"Beijing Univ Chem Technol, Dept Ind Engn, Beijing, Peoples R China"
,,,
Title,Study of new flow field geometries to enhance water redistribution and pressure head losses reduction within PEM fuel cellFirst,,
First,"Chadha, Kush",WOS,"Univ Poitiers, Inst Pprime, CNRS, ENSMA,UPR 3346, 2 Rue Pierre Brousse,Batiment B25,TSA 41105, F-86073 Poitiers 9, France"
Last,"Thomas, Anthony",WOS,"Univ Poitiers, Inst Pprime, CNRS, ENSMA,UPR 3346, 2 Rue Pierre Brousse,Batiment B25,TSA 41105, F-86073 Poitiers 9, France"
,,,
Title,"Effect of BaTiO3 templates on the electrical characteristics of (Ba, Ca)(Ti, Sn, Hf)-based ceramics under the reducing atmosphere for actuator applicationsFirst",,
First,"Tsai, Cheng-Che",WOS,"TungFang Design Univ, Dept Game & Animat Design, Kaohsiung 829, Taiwan"
Last,"Lin, Yun-You",WOS,"Natl Kaohsiung Normal Univ, Dept Elect Engn, Kaohsiung 802, Taiwan"
,,,
Title,Directional Water Wicking on a Metal Surface Patterned by MicrochannelsFirst,,
First,"Abbaspour, Nima",WOS,"Avignon Univ, INRAE, EMMAH, UMR1114, F-84914 Avignon, France"
Last,"Schulz, Volker P.",WOS,"Baden Wurttemberg Cooperat State Univ Mannheim, Dept Mech Engn, Coblitzallee 1-9, D-68163 Mannheim, Germany"
,,,
Title,Numerical analysis of static and dynamic heat transfer behaviors inside proton exchange membrane fuel cellFirst,,
First,"Wang, Qianqian",WOS,"Tongji Univ, Sch Automot Studies, Jiading Campus,4800 Caoan Rd, Shanghai 201804, Peoples R China"
Last,"Ming, Pingwen",WOS,"Tongji Univ, Sch Automot Studies, Jiading Campus,4800 Caoan Rd, Shanghai 201804, Peoples R China"
,,,
Title,Editors' Choice-Diffusion Media for Cation Contaminant Transport Suppression into Fuel Cell ElectrodesFirst,,
First,"Komini Babu, Siddharth",WOS,"Los Alamos Natl Lab, MPA, MPA 11, Los Alamos, NM 87545 USA"
Last,"Borup, Rod",WOS,"Los Alamos Natl Lab, MPA, MPA 11, Los Alamos, NM 87545 USA"
,,,
Title,A review of modified metal bipolar plates for proton exchange membrane fuel cellsFirst,,
First,"Wu, Sida",WOS,"Beijing Univ Chem Technol, Coll Mech & Elect Engn, Beijing 100029, Peoples R China"
Last,"Chen, Hongbo",WOS,"Qingdao Univ Sci & Technol, Coll Electromech Engn, Qingdao 266061, Peoples R China"
,,,
Title,Optimum supply and utilization of pure oxygen along with nitrogen on the cathode side for thermal stability of a proton exchange membrane fuel cellFirst,,
First,"Gadhewal, Ramakant",WOS,"Natl Inst Technol, Dept Chem Engn, Warangal 506004, Andhra Pradesh, India"
Last,"Ananthula, Venu Vinod",WOS,"Natl Inst Technol, Dept Chem Engn, Warangal 506004, Andhra Pradesh, India"
,,,
Title,Highly conductive polypropylene-based composites for bipolar plates for polymer electrolyte membrane fuel cellsFirst,,
First,"Buehler, Roman",WOS,"Univ Appl Sci & Arts Northwestern Switzerland FHN, Sch Engn, Inst Polymer Engn, Klogestr 1, CH-5210 Windisch, Switzerland"
Last,"Tsotra, Panagiota",WOS,"GreenGT, Chemin Rosaire 5, Aclens, Switzerland"
,,,
Title,CO2-neutral Mobility as a Challenge and an Opportunity - From the powertrain to the electrolyzer: Plasma surface technology along the energy chainFirst,,
First,"Hosenfeldt, Tim",WOS,"Schaeffler AG, Zent Forsch & Innovat, Ind Str 1-3, D-91074 Herzogenaurach, Germany"
Last,"Hosenfeldt, Tim",WOS,"Schaeffler AG, Zent Forsch & Innovat, Ind Str 1-3, D-91074 Herzogenaurach, Germany"
,,,
Title,Designing and Exploring a Brand-new Strong Superhydrophobic-Conductive Polyaniline-Polysiloxane Composite Anti-corrosion CoatingFirst,,
First,"Xu, Haidong",WOS,"Lanzhou Univ Technol, Sch Petrochem Engn, Lanzhou 730050, Peoples R China"
Last,"Qiu, Jianhui",WOS,"Akita Prefectural Univ, Fac Syst Sci & Technol, Yurihonjo, Akita 0150055, Japan"
,,,
Title,"RETRACTION: A review of composite and metallic bipolar plates in proton exchange membrane fuel cell: Materials, fabrication, and material selection (Retraction of Vol 265, Pg 370, 2014)First",,
First,"Taherian, Reza",WOS,"Shahrood Univ, Dept Mech Engn, Shahrud, Iran"
Last,"Taherian, Reza",WOS,"Shahrood Univ, Dept Mech Engn, Shahrud, Iran"
,,,
Title,Low-Cost Bipolar Plates of Ti4O7-Coated Ti for Water Electrolysis with Polymer Electrolyte MembranesFirst,,
First,"Wakayama, Hiroaki",WOS,"Toyota Cent Res & Dev Labs Inc, Nagakute, Aichi 4801192, Japan"
Last,"Yamazaki, Kiyoshi",WOS,"Toyota Cent Res & Dev Labs Inc, Nagakute, Aichi 4801192, Japan"
,,,
Title,Optimization of Fuel Cell Performance Using Computational Fluid DynamicsFirst,,
First,"Wilberforce, Tabbi",WOS,"Aston Univ, Sch Engn & Appl Sci, Mech Engn & Design, Birmingham B4 7ET, W Midlands, England"
